,Organization Name,NY Reg #,EIN,Registrant Type,City,State
1,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
2,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
3,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
4,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
5,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
6,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
7,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
8,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
9,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
10,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
11,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
12,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
13,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
14,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
15,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
16,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
17,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
18,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
19,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
20,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
21,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
22,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
23,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
24,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
25,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
26,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
27,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
28,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
29,1039 Boston Road Housing Development Fund Corporation,44-52-75,470904138,NFP,NEW YORK,NY
30,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
31,"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
32,10 Arts Foundation Inc,48-38-54,853117085,NFP,NEW YORK,NY
33,1-0 Foundation Ltd.,48-95-06,874831038,NFP,MELVILLE,NY
34,10 Freedom Place Housing Development Fund Corporation,46-36-74,475005707,NFP,NEW YORK,NY
35,"10 in 10 Project, Inc.",40-12-38,205326666,NFP,FT. MONTGOMERY,NY
36,10 ORCHARD STREET HOUSING DEVELOPMENT FUND CO INC,05-37-28,132683270,NFP,ELMSFORD,NY
37,"10 Thousand Windows, Inc.",46-50-29,272505761,NFP,KNOXVILLE,TN
38,1 Freedom For ALL Inc.,48-80-35,823270255,NFP,BRONX,NY
39,"1 SG Michael S. Curry Memorial Foundation, Inc.",41-44-93,261211059,NFP,NEW YORK,NY
40,Academy of General Dentistry Foundation,43-07-85,237310583,NFP,ALBANY,NY
41,"American Agora Foundation, Inc.",40-62-78,204000236,NFP,NEW YORK,NY
42,AMERICAN CLASSICAL ORCHESTRA INC,15-89-17,061072470,NFP,NEW YORK,NY
43,"AOPA Foundation, Inc.",40-51-26,208817225,NFP,FREDERICK,MD
44,ARNOLD GOLD FOUNDATION,21-38-43,223052098,NFP,ENGLEWOOD CLIFFS,NJ
45,BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
46,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
47,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
48,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
49,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
50,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
51,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
52,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
53,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
54,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
55,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
56,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
